case_id, setup, solution
AS1, D2 F U' R2 U' R' U2 R U' R2 F' D2, F R2 U R' U2 R U R2 U F'
AS2, R2 F2 L B' R' U R U2 B U L, L' U' L U' L' U2 L' F2 R2
AS3, R2 B2 R' U' R' F' U L F' L' F2 U, U2 R' F R F' R U R B2 R2
AS4, U2 D2 R2 F2 R U2 R U2 R B' R' B D2, U2 F' L F L' U2 L' U2 L' B2 L2
AS5, R2 F' U F R U' F' B' R B U2 R' U R, R' U' R U' R' U' R' F2 R F' R
AS6, D R U' R' F R' F' R D' R2 F2 R2, R2 F2 R F R F' R U R'
H1, R2 F' U2 F2 R2 B U2 F B', R2 F U2 F2 R2 F' R2
H2, L2 D2 R D2 R2 L2 B2 R2, R2 B2 U2 R' U2 R2
H3, R' F' U R' F L2 D2 R' D2 L2 R2 U' R, R' U' R U2 R2 F' R U' F R
H4, R U' L' B L2 U2 F U F' L' R', R U2 B2 R' U R U' B R'
L1, F' L' F L' U B' R' U R U2 B' L2 U', U L2 B2 L U' L' U L F' L F
L2, U R U' B' R' F' R B R' F' R2 F2, F2 R2 F R U R' U' R' F R
L3, R2 F2 U R L2 D2 R D2 R L2 U R2, R2 U' R U2 R' U2 R U' F2 R2
L4, D R D' B D' B' L' D L2 D' R' L2, R' U L' U2 R' F R U' R' U' F' x2
L5, R2 D B D' B R' U' R' U2 F' U' F, F R' F' R U R U' R B2 R2
L6, R2 F2 D' B' D' R D R2 B R2 D R, F' R U R' U' R' F R' F2 R2
Pi1, U2 L' U' L F U2 R2 U R' U2 R' U F', F U' R U2 R U' R' U R' F'
Pi2, F' R L D2 L' U L2 D2 R' L2, R U2 R2 U R' F2 R2 F'
Pi3, U R U2 R F2 R' U R' U' B L F2 L' B' U, U F R2 U' R2 U R2 U R2 F R2 F2 U2
Pi4, R2 F2 R' U R' U' F' L' U L U2 F2 R' F' R, R' F R F' R U' R' U' R U' R F2 R2
Pi5, U R L' B2 R' B2 L U' R2 F2 R F R U, U' R' F' R' F2 R2 U R' U2 R U
Pi6, U R2 D' F2 L' F' L D R2 U R' U2 R U', U R' U2 R U' R2 F2 R F R U'
S1, U D2 F R2 U R' U2 R U R2 U F' U D2, U' F U' R2 U' R' U2 R U' R2 F' U'
S2, R' U' F' U2 L' U' L F R' F2 R2, R2 F2 R U2 R U R' U R
S3, R2 D' L' F L F2 D R2 F' R U R', R U' R' F R' F' R' F2 R2
S4, R L U2 L' U2 L' B2 R2 L F R F', F R' F' R U2 R U2 R B2 R2
S5, R2 U' B' R B R2 U2 R2 F' R U' R, R' U R' F R2 U' F R' F'
S6, U R U B' U' R U B U' B2 R2, R2 B2 R' U' R' F R' F' R
T1, U' L' B2 R' U' R' L2 F2 L F2 L2 U' F2 U', U R' F' R U R U' R' F' R2 B2 U
T2, F U2 B U2 L U L' B' R F', F R' U2 R' U' R U2 F'
T3, R' U R' F R2 B L U' L' U2 B', R' U R U2 R2 F' R U' R
T4, R B2 R2 U L U' F' L F' R B2 L2, R2 F2 R U' F R' F' R U R
T5, U2 R' F' L F' L' F R U' L2 B2 L B2 L, R' U2 R U' R' F R' F R F' R
T6, D2 R' F2 R' F2 R U2 R D2, R' U2 R' F2 R F2 R
U1, R' U R' L' U2 B' U' B U' L F R2, R2 U2 R U R' U F' R U' R
U2, B2 R2 F2 U L U F U' F' L' U', F R U R' U' F R2 B2
U3, R D R D' F' R2 U R' U F R, R' F' U' R U2 R' U F R
U4, U2 R' U L' U2 R U2 B' U B L U2, R' F' U' F U2 L' U2 R U' L
U5, U D' F L F2 L' F D R2 U' B2 R2, R2 B2 R' U R' U' R' F R F'
U6, U L' U' L F U' F' R' F R' F2 R2, R2 F2 R F' R U L F' L' F
